uk-east-london-ca-version-2.expressnetw.com               UK - East London(1)
uk-london-ca-version-2.expressnetw.com               UK - London
uruguay-ca-version-2.expressnetw.com               Uruguay
usa-atlanta-ca-version-2.expressnetw.com               USA - Atlanta
usa-chicago-ca-version-2.expressnetw.com               USA - Chicago
usa-dallas-2-ca-version-2.expressnetw.com               USA - Dallas - 2
usa-dallas-ca-version-2.expressnetw.com               USA - Dallas
usa-denver-ca-version-2.expressnetw.com               USA - Denver
usa-losangeles-1-ca-version-2.expressnetw.com               USA - Los Angeles - 1
usa-losangeles-2-ca-version-2.expressnetw.com               USA - Los Angeles - 2
usa-losangeles-3-ca-version-2.expressnetw.com               USA - Los Angeles - 3
usa-los-angeles-4-ca-version-2.expressnetw.com               USA - Los Angeles - 4
usa-losangeles5-ca-version-2.expressnetw.com               USA - Los Angeles - 5
usa-losangeles-ca-version-2.expressnetw.com               USA - Los Angeles
usa-miami-ca-version-2.expressnetw.com               USA - Miami
usa-newjersey-1-ca-version-2.expressnetw.com               USA - New Jersey - 1
usa-newjersey2-ca-version-2.expressnetw.com               USA - New Jersey - 2
usa-newjersey-3-ca-version-2.expressnetw.com               USA - New Jersey - 3
us-new-york-2-ca-version-2.expressnetw.com               USA - New York - 2
usa-newyork-ca-version-2.expressnetw.com               USA - New York
usa-saltlakecity-ca-version-2.expressnetw.com               USA - Salt Lake City
usa-sanfrancisco-ca-version-2.expressnetw.com               USA - San Francisco
usa-seattle-ca-version-2.expressnetw.com               USA - Seattle
usa-tampa-1-ca-version-2.expressnetw.com               USA - Tampa - 1
usa-washingtondc-2-ca-version-2.expressnetw.com               USA - Washington DC - 2
usa-washingtondc-ca-version-2.expressnetw.com               USA - Washington DC
uzbekistan-ca-version-2.expressnetw.com               Uzbekistan
venezuela-ca-version-2.expressnetw.com               Venezuela
vietnam-ca-version-2.expressnetw.com               Vietnam
